model,query_id,is_baseline,coverage_score,precision,recall,f1_score,semantic_accuracy,response_depth,reasoning_quality,biobank_specificity,technical_accuracy,logical_consistency,error_count,hallucination_count,missing_critical_concepts,statistical_significance,effect_size
Random_Selection,causal_inference_1,True,0.5,1.0,0.125,0.2222222222222222,0.37983582615852357,0.04,0.0,0.16000000000000003,0.0,1.0,1,0,3,0.1,0.6111111111111109
Random_Selection,data_interpretation_1,True,0.5,1.0,0.125,0.2222222222222222,0.3050439476966858,0.04,0.0,0.13999999999999999,0.125,1.0,1,0,3,0.1,0.6111111111111109
Random_Selection,multi_step_inference_1,True,0.5,1.0,0.125,0.2222222222222222,0.31122795939445497,0.04,0.0,0.32000000000000006,0.125,1.0,1,0,0,0.1,0.6111111111111109
Random_Selection,cross_modal_reasoning_1,True,0.5714285714285714,1.0,0.14285714285714285,0.25,0.31334252953529357,0.04,0.0,0.54,0.125,1.0,1,0,0,0.1,0.7499999999999999
Frequency_Based,keywords_original,True,0.36363636363636365,1.0,0.6363636363636364,0.7777777777777778,0.5940634965896606,0.0,1.0,0.0,1.0,1.0,0,0,0,0.01,3.388888888888889
Frequency_Based,hypothesis_generation_1,True,0.14285714285714285,1.0,0.42857142857142855,0.6,0.2552724242210388,0.04,0.0,0.0,0.0,1.0,2,0,3,0.01,2.5
Frequency_Based,causal_inference_1,True,0.125,1.0,0.375,0.5454545454545454,0.14881407022476195,0.04,0.0,0.0,0.0,1.0,2,0,3,0.01,2.227272727272727
Frequency_Based,data_interpretation_1,True,0.125,0.6666666666666666,0.25,0.36363636363636365,0.12806130051612855,0.04,0.0,0.0,0.0,1.0,2,0,3,0.05,1.3181818181818183
Frequency_Based,multi_step_inference_1,True,0.375,1.0,0.375,0.5454545454545454,0.3700355887413025,0.04,0.0,0.0,0.0,1.0,2,0,0,0.01,2.227272727272727
Frequency_Based,cross_modal_reasoning_1,True,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.4,0.28227169513702394,0.04,0.0,0.0,0.0,1.0,2,0,0,0.05,1.5000000000000002
TFIDF_Retrieval,keywords_original,True,0.6363636363636364,1.0,0.18181818181818182,0.3076923076923077,0.443768298625946,0.04,1.0,0.0,1.0,1.0,1,0,0,0.05,1.0384615384615385
TFIDF_Retrieval,hypothesis_generation_1,True,0.42857142857142855,1.0,0.14285714285714285,0.25,0.21965040564537047,0.04,0.0,0.0,0.0,1.0,2,0,3,0.1,0.7499999999999999
TFIDF_Retrieval,causal_inference_1,True,0.375,1.0,0.125,0.2222222222222222,0.2252764940261841,0.04,0.0,0.16000000000000003,0.0,1.0,2,0,3,0.1,0.6111111111111109
TFIDF_Retrieval,data_interpretation_1,True,0.75,1.0,0.125,0.2222222222222222,0.4496101021766663,0.04,0.0,0.13999999999999999,0.0,1.0,1,0,3,0.1,0.6111111111111109
TFIDF_Retrieval,multi_step_inference_1,True,0.375,1.0,0.125,0.2222222222222222,0.27985920906066897,0.08,0.0,0.0,0.0,1.0,2,0,0,0.1,0.6111111111111109
TFIDF_Retrieval,cross_modal_reasoning_1,True,0.5714285714285714,1.0,0.14285714285714285,0.25,0.3189657807350159,0.04,0.0,0.18000000000000002,0.125,1.0,3,0,0,0.1,0.7499999999999999
Rule_Based_Heuristic,keywords_original,True,0.45454545454545453,1.0,0.7272727272727273,0.8421052631578948,0.6490620970726013,0.04,1.0,0.16000000000000003,1.0,1.0,1,0,0,0.01,3.710526315789474
Rule_Based_Heuristic,hypothesis_generation_1,True,0.0,1.0,0.8571428571428571,0.923076923076923,0.3034771144390106,0.16,0.0,0.0,0.0,1.0,2,0,3,0.01,4.115384615384615
Rule_Based_Heuristic,causal_inference_1,True,0.125,1.0,0.75,0.8571428571428571,0.1995685935020447,0.16,0.0,0.0,0.0,1.0,2,0,3,0.01,3.7857142857142856
Rule_Based_Heuristic,data_interpretation_1,True,0.25,0.8333333333333334,0.625,0.7142857142857143,0.19933063983917237,0.16,0.0,0.0,0.0,1.0,2,0,3,0.01,3.0714285714285716
Rule_Based_Heuristic,multi_step_inference_1,True,0.375,1.0,0.75,0.8571428571428571,0.45933992862701417,0.16,0.0,0.0,0.0,1.0,2,0,0,0.01,3.7857142857142856
Rule_Based_Heuristic,cross_modal_reasoning_1,True,0.42857142857142855,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.28390598893165586,0.16,0.0,0.0,0.0,1.0,2,0,0,0.01,3.346153846153846
