model,query_id,is_baseline,coverage_score,precision,recall,f1_score,semantic_accuracy,factual_correctness,response_coherence,depth_score,reasoning_quality,domain_knowledge_score,biobank_specificity,vs_random_baseline,vs_frequency_baseline,vs_keyword_baseline,vs_template_baseline,baseline_improvement,response_length,confidence_indicators,uncertainty_markers,specific_examples,error_count,error_types
Claude_Sonnet,authors_real,False,0.3,0.0877,0.5,0.1493,0.5291,0.3,0.6,0.2778,0.32,0.56,0.3333,0.1372,-0.1798,0.1393,-0.2541,-0.0393,144,0,3,3,0,
Claude_Sonnet,citations_real,False,0.4,0.0952,0.6,0.1644,0.436,0.4,1.0,0.3333,0.5,0.76,0.5,0.0945,-0.284,-0.1882,-0.1549,-0.1332,174,0,1,3,0,
Gemini,keywords_real,False,0.4615,0.1094,0.5385,0.1818,0.5215,0.4615,0.6,0.2667,0.3,0.76,0.75,-0.1689,-0.1538,0.0213,-0.239,-0.1351,129,0,0,0,0,
Gemini,institutions_real,False,1.0,0.0744,1.0,0.1385,0.7643,1.0,0.8353,0.3556,0.42,0.84,0.5,0.0979,0.044,0.6396,0.1436,0.2313,325,1,4,2,0,
Gemini,authors_real,False,0.9,0.0584,0.9,0.1098,0.5654,0.9,0.6909,0.2778,0.4,0.68,0.8333,0.1736,-0.1435,0.1756,-0.2178,-0.003,497,0,0,1,0,
Gemini,citations_real,False,0.8,0.062,0.8,0.1151,0.5266,0.8,0.7429,0.6,0.7,0.76,0.3333,0.1852,-0.1934,-0.0976,-0.0643,-0.0425,355,1,0,4,0,
Mistral_Large,keywords_real,False,0.5385,0.0593,0.5385,0.1069,0.4305,0.5385,0.6,0.5333,0.3,0.76,0.5,-0.2599,-0.2448,-0.0697,-0.33,-0.2261,367,0,0,5,0,
Mistral_Large,institutions_real,False,0.3333,0.0423,0.3333,0.075,0.6099,0.3333,0.7333,0.3111,0.21,0.48,0.3333,-0.0565,-0.1104,0.4851,-0.0108,0.0768,188,0,0,5,0,
Mistral_Large,authors_real,False,0.4,0.0702,0.4,0.1194,0.5282,0.4,1.0,0.3333,0.24,0.4,0.3333,0.1363,-0.1807,0.1383,-0.255,-0.0403,153,0,0,4,0,
Mistral_Large,citations_real,False,0.6,0.0631,0.7,0.1157,0.5024,0.6,0.6,0.3333,0.2,0.48,0.3333,0.1609,-0.2177,-0.1219,-0.0885,-0.0668,351,0,0,5,1,excessive_vagueness
Meta_Llama,keywords_real,False,0.5385,0.0986,0.5385,0.1667,0.5704,0.5385,0.6,0.6,0.4,0.48,0.5,-0.12,-0.1049,0.0702,-0.1901,-0.0862,266,0,2,4,0,
Meta_Llama,institutions_real,False,0.8889,0.1129,0.7778,0.1972,0.6846,0.8889,0.6,0.2222,0.14,0.68,0.5,0.0182,-0.0357,0.5598,0.0639,0.1516,439,0,1,4,0,
Meta_Llama,authors_real,False,0.4,0.0735,0.5,0.1282,0.552,0.4,0.6909,0.2222,0.24,0.6,0.6667,0.1601,-0.1569,0.1621,-0.2312,-0.0165,262,0,1,3,0,
Meta_Llama,citations_real,False,0.5,0.0702,0.8,0.129,0.4979,0.5,0.6,0.5333,0.4,0.68,0.5,0.1565,-0.2221,-0.1263,-0.093,-0.0712,486,0,0,5,0,
DeepThink_R1,keywords_real,False,0.6923,0.041,0.6154,0.0769,0.4368,0.6923,0.6,0.4,0.3,0.48,0.5,-0.2536,-0.2386,-0.0635,-0.3237,-0.2198,569,0,0,3,1,excessive_length
DeepThink_R1,institutions_real,False,0.8889,0.0762,0.8889,0.1404,0.6467,0.7889,0.7429,0.2222,0.35,0.76,0.5,-0.0197,-0.0736,0.522,0.026,0.1137,344,0,3,5,1,data_access_limitations
DeepThink_R1,authors_real,False,0.3,0.0746,0.5,0.1299,0.5082,0.2,0.7818,0.2222,0.24,0.68,0.5,0.1163,-0.2007,0.1183,-0.275,-0.0603,211,0,3,4,1,data_access_limitations
DeepThink_R1,citations_real,False,0.8,0.0523,0.8,0.0982,0.6448,0.7,0.65,0.6667,0.4,0.56,0.3333,0.3033,-0.0752,0.0206,0.0539,0.0756,545,0,1,7,2,excessive_length; data_access_limitations
Random_Baseline,keywords_real,True,0.0769,0.1429,0.1538,0.1481,0.6904,0.0769,0.6,0.0667,0.1,0.0,0.0,0.0,0.0151,0.1902,-0.0701,0.0338,15,0,0,0,0,
Random_Baseline,institutions_real,True,0.3333,0.3333,0.4444,0.381,0.6664,0.3333,0.6,0.0444,0.07,0.28,0.1667,0.0,-0.0539,0.5416,0.0457,0.1334,13,0,0,0,0,
Random_Baseline,authors_real,True,0.2,0.25,0.3,0.2727,0.3919,0.2,0.6,0.0556,0.08,0.0,0.0,0.0,-0.317,0.0021,-0.3913,-0.1766,13,0,0,0,0,
Random_Baseline,citations_real,True,0.2,0.1818,0.2,0.1905,0.3415,0.2,0.6,0.2667,0.2,0.24,0.0,0.0,-0.3786,-0.2828,-0.2494,-0.2277,15,0,0,0,0,
Frequency_Baseline,keywords_real,True,0.3846,0.3,0.4615,0.3636,0.6754,0.3846,0.7,0.2,0.4,0.0,0.0,-0.0151,0.0,0.1751,-0.0852,0.0187,23,0,0,0,0,
Frequency_Baseline,institutions_real,True,0.6667,0.4667,0.7778,0.5833,0.7203,0.6667,0.7,0.0444,0.07,0.28,0.1667,0.0539,0.0,0.5955,0.0996,0.1873,23,0,0,0,0,
Frequency_Baseline,authors_real,True,0.5,0.2857,0.6,0.3871,0.7089,0.5,0.7,0.0556,0.08,0.0,0.0,0.317,0.0,0.3191,-0.0743,0.1405,28,0,0,1,0,
Frequency_Baseline,citations_real,True,0.4,0.3333,0.6,0.4286,0.72,0.4,0.7,0.2,0.1,0.36,0.1667,0.3786,0.0,0.0958,0.1291,0.1509,22,0,0,0,0,
Keyword_Baseline,keywords_real,True,0.1538,0.1875,0.2308,0.2069,0.5003,0.1538,0.7,0.1333,0.1,0.0,0.0,-0.1902,-0.1751,0.0,-0.2603,-0.1564,17,0,0,0,0,
Keyword_Baseline,institutions_real,True,0.1111,0.125,0.2222,0.16,0.1248,0.1111,0.7,0.0889,0.07,0.08,0.0,-0.5416,-0.5955,0.0,-0.496,-0.4083,17,0,0,0,0,
Keyword_Baseline,authors_real,True,0.0,0.125,0.2,0.1538,0.3898,0.0,0.7,0.1111,0.08,0.0,0.0,-0.0021,-0.3191,0.0,-0.3934,-0.1786,17,0,0,0,1,missing_expected_concepts
Keyword_Baseline,citations_real,True,0.2,0.3125,0.5,0.3846,0.6242,0.2,0.7,0.1333,0.1,0.08,0.0,0.2828,-0.0958,0.0,0.0333,0.0551,17,0,0,0,0,
Template_Baseline,keywords_real,True,0.1538,0.15,0.2308,0.1818,0.7605,0.1538,0.7,0.2667,0.4,0.0,0.0,0.0701,0.0852,0.2603,0.0,0.1039,31,0,0,3,0,
Template_Baseline,institutions_real,True,0.3333,0.2222,0.4444,0.2963,0.6207,0.3333,0.7,0.1333,0.21,0.28,0.1667,-0.0457,-0.0996,0.496,0.0,0.0877,22,0,0,3,0,
Template_Baseline,authors_real,True,0.6,0.3,0.6,0.4,0.7832,0.6,0.7,0.1111,0.32,0.0,0.0,0.3913,0.0743,0.3934,0.0,0.2148,27,0,0,3,0,
Template_Baseline,citations_real,True,0.3,0.2941,0.5,0.3704,0.5909,0.3,0.7,0.2667,0.4,0.08,0.0,0.2494,-0.1291,-0.0333,0.0,0.0217,20,0,0,3,0,
